85,Monterrey,Monterrey,Mexico,Liga MX,Estadio BBVA Bancomer,51000,25.6690874,-100.2446171
86,Morelia,Morelia,Mexico,Liga MX,Estadio Jose Maria Morelos y Pavon,35000,19.7187932,-101.2333357
87,Pachuca,Pachuca,Mexico,Liga MX,Estadio Hidalgo,30000,20.1052313,-98.7563503
88,Puebla,Puebla City,Mexico,Liga MX,Estadio Cuauhtemoc,50754,19.0778748,-98.1647752
89,Queretaro,Queretaro City,Mexico,Liga MX,La Corregidora Stadium,34045,20.5777215,-100.3661137
90,Santos Laguna,Torreon,Mexico,Liga MX,Estadio Corona,31000,25.6287156,-103.3798973
91,Sinaloa,Culiacan,Mexico,Liga MX,Estadio Banorte,17898,24.830369,-107.4044103
92,Tijuana,Tijuana,Mexico,Liga MX,Caliente,27333,32.506038,-116.9928718
93,Toluca,Toluca,Mexico,Liga MX,Nemesio Diez,18651,19.2874363,-99.6664122
94,UANL,San Nicolas de los Garza,Mexico,Liga MX,Estadio Universitario,42000,25.722428,-100.3119474
95,UNAM,Mexico City,Mexico,Liga MX,Estadio Olimpico Universitario,52000,19.3318973,-99.19177
96,Veracruz,Veracruz City,Mexico,Liga MX,Estadio Luis “Pirata” de la Fuente,28703,19.164342,-96.1247743
97,Atalanta,Bergamo,Italy,Serie A,Atleti Azzurri d'Italia,26638,9.6808264,45.7092056
98,Bologna,Bologna,Italy,Serie A,Stadio Renato Dall'Ara,38279,11.3099641,44.4922894
99,Carpi,Carpi,Italy,Serie A,Stadio Alberto Braglia,21151,10.9231836,44.653465
100,Chievo,Verona,Italy,Serie A,Stadio Marc'Antonio Bentegodi,38402,10.9686559,45.4353091
101,Empoli,Empoli,Italy,Serie A,Stadio Carlo Castellani,16800,10.9548503,43.7267873
102,Fiorentina,Florence,Italy,Serie A,Stadio Artemio Franchi,47282,11.2825717,43.7808349
103,Frosinone,Frosinone,Italy,Serie A,Stadio Matusa,9680,13.3430265,41.637936
104,Genoa,Genoa,Italy,Serie A,Stadio Luigi Ferraris,36536,8.9524953,44.4164093
105,Internazionale,Milan,Italy,Serie A,San Siro,80018,9.123962,45.4781236
106,Juventus,Turin,Italy,Serie A,Juventus Stadium,41475,7.6412644,45.109569
107,Lazio,Rome,Italy,Serie A,Stadio Olimpico,70634,12.454725,41.934077
108,AC Milan,Milan,Italy,Serie A,San Siro,80018,9.123962,45.4781236
109,Napoli,Naples,Italy,Serie A,Stadio San Paolo,60240,14.1930611,40.8279365
110,Palermo,Palermo,Italy,Serie A,Stadio Renzo Barbera,36349,13.3422089,38.1527423
111,Roma,Rome,Italy,Serie A,Stadio Olimpico,70634,12.454725,41.934077
112,Sampdoria,Genoa,Italy,Serie A,Stadio Luigi Ferraris,36536,8.9524953,44.4164093
113,Sassuolo,Sassuolo,Italy,Serie A,Mapei Stadium,23717,10.649734,44.714609
114,Torino,Turin,Italy,Serie A,Stadio Olimpico,28140,7.6500522,45.0418233
115,Udinese,Udine,Italy,Serie A,Stadio Friuli,25144,13.2006419,46.0819104
